date	month	year	mld
2006-05-28	5	2006	12.5310840607
2006-05-29	5	2006	8.5718832016
2006-05-30	5	2006	11.1582946777
2006-05-31	5	2006	6.7772016525
2006-06-01	6	2006	4.0953159332
2006-06-02	6	2006	3.5895185471
2006-06-03	6	2006	0
2006-06-04	6	2006	1.2107212543
2006-06-05	6	2006	0
2006-06-06	6	2006	4.0109205246
2006-06-07	6	2006	1.3669420481
2006-06-08	6	2006	1.8198182583
2006-06-09	6	2006	5.8890323639
2006-06-10	6	2006	15.482872963
2006-06-11	6	2006	10.2644033432
2006-06-12	6	2006	7.710398674
2006-06-13	6	2006	9.554848671
2006-06-14	6	2006	3.5365216732
2006-06-15	6	2006	10.0646219254
2006-06-16	6	2006	4.6929688454
2006-06-17	6	2006	0
2006-06-18	6	2006	8.3146076202
2006-06-19	6	2006	14.9054412842
2006-06-20	6	2006	12.3498687744
2006-06-21	6	2006	18.8771266937
2006-06-22	6	2006	18.0900650024
2006-06-23	6	2006	10.0244569778
2006-06-24	6	2006	2.9557693005
2006-06-25	6	2006	3.1578621864
2006-06-26	6	2006	10.2367935181
2006-06-27	6	2006	5.696103096
2006-06-28	6	2006	0
2006-06-29	6	2006	4.0663514137
2006-06-30	6	2006	7.6352877617
2006-07-01	7	2006	2.4543178082
2006-07-02	7	2006	1.9256176949
2006-07-03	7	2006	5.4733567238
2006-07-04	7	2006	8.9292449951
2006-07-05	7	2006	2.1678109169
2006-07-06	7	2006	4.3021683693
2006-07-07	7	2006	9.5344905853
2006-07-08	7	2006	11.7247419357
2006-07-09	7	2006	19.3449363708
2006-07-10	7	2006	10.3467845917
2006-07-11	7	2006	11.3373184204
2006-07-12	7	2006	8.1293458939
2006-07-13	7	2006	7.1925268173
2006-07-14	7	2006	11.1627054214
2006-07-15	7	2006	7.2133851051
2006-07-16	7	2006	6.4646272659
2006-07-17	7	2006	3.1284704208
2006-07-18	7	2006	3.1708650589
2006-07-19	7	2006	3.7097809315
2006-07-20	7	2006	2.9925293922
2006-07-21	7	2006	5.9661030769
2006-07-22	7	2006	4.9130654335
2006-07-23	7	2006	7.5348677635
2006-07-24	7	2006	6.2186770439
2006-07-25	7	2006	0
2006-07-26	7	2006	3.0997810364
2006-07-27	7	2006	3.0774021149
2006-07-28	7	2006	6.7750048637
2006-07-29	7	2006	8.072766304
2006-07-30	7	2006	13.688375473
2006-07-31	7	2006	15.1966352463
2006-08-01	8	2006	16.0555152893
2006-08-02	8	2006	13.4820613861
2006-08-03	8	2006	12.339468956
2006-08-04	8	2006	5.2428865433
2006-08-05	8	2006	3.2356498241
2006-08-06	8	2006	3.2276299
2006-08-07	8	2006	5.9008169174
2006-08-08	8	2006	10.3876333237
2006-08-09	8	2006	7.7970337868
2006-08-10	8	2006	10.7120018005
2006-08-11	8	2006	11.2088470459
2006-08-12	8	2006	11.7426700592
2006-08-13	8	2006	12.9964399338
2006-08-14	8	2006	12.4378852844
2006-08-15	8	2006	4.7383799553
2006-08-16	8	2006	10.3367338181
2006-08-17	8	2006	10.4725008011
2006-08-18	8	2006	6.7129721642
2006-08-19	8	2006	4.5994825363
2006-08-20	8	2006	14.3951406479
2006-08-21	8	2006	13.0125284195
2006-08-22	8	2006	7.5017671585
2006-08-23	8	2006	10.9204292297
2006-08-24	8	2006	13.8991355896
2006-08-25	8	2006	6.4344940186
2006-08-26	8	2006	15.0003480911
2006-08-27	8	2006	14.9526233673
2006-08-28	8	2006	17.1574649811
2006-08-29	8	2006	20.3749675751
2006-08-30	8	2006	18.2359046936
2006-08-31	8	2006	20.8203544617
2006-09-01	9	2006	20.2583808899
2006-09-02	9	2006	17.2553405762
2006-09-03	9	2006	19.6873817444
2006-09-04	9	2006	14.3853654861
2006-09-05	9	2006	13.6485843658
2006-09-06	9	2006	12.8598747253
2006-09-07	9	2006	9.2699995041
2006-09-08	9	2006	15.2283258438
2006-09-09	9	2006	11.8243570328
2006-09-10	9	2006	11.1796379089
2006-09-11	9	2006	9.0186700821
2006-09-12	9	2006	10.097117424
2006-09-13	9	2006	13.7713346481
2006-09-14	9	2006	10.2947072983
2006-09-15	9	2006	8.3411998749
2006-09-16	9	2006	7.9731206894
2006-09-17	9	2006	10.0524015427
2006-09-18	9	2006	11.2087039948
2006-09-19	9	2006	22.1592102051
2006-09-20	9	2006	21.2035579681
2006-09-21	9	2006	24.3738079071
2006-09-22	9	2006	22.3494777679
2006-09-23	9	2006	18.1302719116
2006-09-24	9	2006	13.682972908
2006-09-25	9	2006	5.64412117
2006-09-26	9	2006	12.9765815735
2006-09-27	9	2006	13.0541801453
2006-09-28	9	2006	24.6426315308
2006-09-29	9	2006	16.8155059814
2006-09-30	9	2006	16.9769859314
2006-10-01	10	2006	22.8753356934
2006-10-02	10	2006	37.1668968201
2006-10-03	10	2006	18.0951881409
2006-10-04	10	2006	15.769780159
2006-10-05	10	2006	19.5158824921
2006-10-06	10	2006	50.8503646851
2006-10-07	10	2006	50.1660957336
2006-10-08	10	2006	26.3387317657
2006-10-09	10	2006	18.6819114685
2006-10-10	10	2006	0
2006-10-11	10	2006	49.1375617981
2006-10-12	10	2006	17.2457504272
2006-10-13	10	2006	9.6821756363
2006-10-14	10	2006	14.0235109329
2006-10-15	10	2006	16.2772006989
2006-10-16	10	2006	20.3846759796
2006-10-17	10	2006	15.0923643112
2006-10-18	10	2006	15.8205499649
2006-10-19	10	2006	17.2364406586
2006-10-20	10	2006	0
2006-10-21	10	2006	12.7579956055
2006-10-22	10	2006	50.0300445557
2006-10-23	10	2006	10.7089319229
2006-10-24	10	2006	14.3074903488
2006-10-25	10	2006	12.3463497162
2006-10-26	10	2006	33.6503067017
2006-10-27	10	2006	16.5419807434
2006-10-28	10	2006	16.6842422485
2006-10-29	10	2006	12.1309976578
2006-10-30	10	2006	10.4764404297
2006-10-31	10	2006	18.0061435699
2006-11-01	11	2006	25.7059383392
2006-11-02	11	2006	19.6836013794
2006-11-03	11	2006	17.2079105377
2006-11-04	11	2006	0
2006-11-05	11	2006	12.1002988815
2006-11-06	11	2006	0
2006-11-07	11	2006	49.5022659302
