date temp
2007-12-11 12.0218
2008-2-13 9.9567
2008-2-20 9.6653
2008-2-27 9.5939
2008-3-5 9.4745
2008-3-17 9.4464
2008-4-7 9.6021
2008-4-14 9.7187
2008-4-21 9.6998
2008-4-28 10.6879
2008-5-6 11.4896
2008-5-12 12.9659
2008-5-19 12.1126
2008-5-28 12.513
2008-6-2 14.4046
2008-6-9 13.2485
2008-6-16 13.9234
2008-6-23 14.2649
2008-6-30 14.4117
2008-7-14 15.6605
2008-7-21 14.8085
2008-7-28 17.5737
2008-8-20 15.3622
2008-8-26 15.5335
2008-9-2 16.1381
2008-9-15 16.2493
2008-9-22 15.1758
2008-9-29 14.2587
2008-10-6 14.7491
2008-10-13 14.7935
2008-10-21 14.312
2008-11-3 13.3136
2008-12-8 11.222
2009-1-5 9.7325
2009-1-13 9.0048
2009-1-21 7.9675
2009-2-11 8.0953
2009-2-16 8.2383
2009-2-23 8.3879
2009-3-2 8.5374
2009-3-9 8.4922
2009-3-16 9.0499
2009-3-23 9.2802
2009-3-30 9.2002
2009-4-6 9.8095
2009-4-14 10.0542
2009-4-21 10.9944
2009-5-14 11.4753
2009-5-21 12.4341
2009-6-15 14.5769
2009-6-22 15.3933
2009-6-29 16.4517
2009-7-7 15.9135
2009-7-13 15.187
2009-7-20 14.8294
2009-7-27 14.5787
2009-8-11 16.9685
2009-9-1 15.6175
2009-9-7 15.4021
2009-9-14 14.9594
2009-9-22 15.2855
2009-9-30 15.7224
2009-10-7 15.5792
2009-10-12 15.6924
2009-10-19 15.4543
2009-10-26 15.0142
2009-11-9 13.9423
2009-12-1 11.4537
2009-12-9 11.5185
2009-12-15 10.3676
2009-12-21 9.6838
2010-1-4 8.6515
2010-1-11 8.9387
2010-1-18 8.0022
2010-1-26 8.3479
2010-2-1 8.6424
2010-2-15 7.7558
2010-2-25 8.0523
2010-3-1 8.0615
2010-3-8 7.5884
2010-3-15 8.0456
2010-4-7 8.5422
2010-4-12 9.091
2010-4-19 8.9165
2010-4-26 9.8012
2010-5-4 9.5247
2010-5-24 12.2911
2010-6-2 12.051
2010-6-7 12.8361
2010-6-14 13.3304
2010-6-21 13.4182
2010-6-29 16.4774
2010-7-6 16.2599
2010-7-12 17.069
2010-7-19 15.4093
2010-7-26 15.7372
2010-8-3 15.5709
2010-8-11 16.2791
2010-8-16 14.2284
2010-8-31 14.9715
2010-9-6 16.3135
2010-9-13 16.0469
2010-9-20 15.6951
2010-9-27 15.2432
2010-10-4 15.1776
2010-10-13 15.0606
2010-10-18 14.4268
2010-10-25 14.6107
2010-11-1 14.2634
2010-11-10 13.4626
2010-11-16 13.3062
2010-11-22 12.3441
2010-11-30 11.964
2010-12-6 11.0026
2010-12-13 10.5028
2010-12-21 9.738
2011-1-6 9.3515
2011-1-17 9.0663
2011-1-25 8.7027
2011-2-8 8.4383
2011-2-22 8.5956
2011-2-28 8.6361
2011-3-7 8.5797
2011-3-14 8.5491
2011-3-22 8.9571
2011-3-28 9.359
2011-4-6 9.7515
2011-4-11 10.7478
2011-4-18 10.7521
2011-4-26 11.0838
2011-5-11 12.5413
2011-5-16 11.9268
2011-5-24 11.8554
2011-6-1 12.5254
2011-6-6 13.9317
2011-6-14 13.2403
2011-6-20 13.2202
2011-6-27 14.3523
2011-7-4 15.3437
2011-7-11 15.1922
2011-7-19 14.1148
2011-7-25 15.3993
2011-8-1 16.948
2011-8-8 15.761
2011-8-22 16.3133
2011-8-30 15.9833
2011-9-15 15.4997
2011-9-19 14.9691
2011-9-26 15.2575
2011-10-3 15.592
2011-10-12 14.844
2011-10-17 14.9055
2011-10-25 14.5562
2011-11-1 14.2475
2011-11-8 14.0896
2011-11-16 14.1437
2011-11-21 14.1244
2011-12-19 10.9891
2012-1-9 10.8566
2012-1-16 10.4374
2012-1-23 10.4389
2012-1-30 10.3843
2012-2-7 9.4821
2012-2-13 9.2119
2012-2-20 9.1267
2012-2-27 9.3672
2012-3-6 9.4464
2012-3-13 9.5708
2012-3-19 9.559
2012-3-26 9.7613
2012-4-2 10.1013
2012-4-11 9.9792
2012-4-16 10.1427
2012-4-24 10.3381
2012-5-1 10.3153
2012-5-8 10.9047
2012-5-14 11.3184
2012-5-21 11.3955
2012-5-23 12.0116
2012-5-28 12.9451
2012-6-11 12.7902
2012-6-18 13.574
2012-6-25 13.9827
2012-7-2 14.0674
2012-7-9 15.0683
2012-7-19 14.1296
2012-7-23 15.9729
2012-7-30 15.0525
2012-8-6 15.4209
2012-8-14 17.3819
2012-8-20 17.8056
2012-9-3 15.843
2012-9-10 16.3217
2012-9-17 16.1188
2012-9-26 15.0733
2012-10-8 14.7824
2012-10-15 14.1701
2012-10-22 14.4829
2012-10-30 14.0306
2012-11-7 12.8716
2012-11-14 13.0016
2012-11-28 11.7905
2012-12-5 11.8746
2012-12-10 11.4559
2012-12-18 10.9327
2013-1-9 10.6227
2013-1-14 10.7845
2013-1-21 10.0615
2013-2-7 9.0048
2013-2-11 9.1
2013-2-19 9.2474
2013-2-25 8.3517
2013-3-6 8.5259
2013-3-13 8.2149
2013-3-19 7.9927
2013-3-25 7.9926
2013-4-3 7.6292
2013-4-9 7.2618
2013-4-17 8.0076
2013-4-22 8.8602
2013-4-29 8.2188
2013-5-7 9.8416
2013-5-15 9.4384
2013-5-20 10.4898
2013-5-29 10.3649
2013-6-3 11.5621
2013-6-10 12.3694
2013-6-17 12.4457
2013-6-24 12.3164
2013-7-1 13.1393
2013-7-8 15.6714
2013-7-15 17.2758
2013-7-22 17.455
2013-7-30 16.297
2013-8-6 16.5715
2013-8-12 15.9564
2013-8-19 16.5718
2013-8-27 17.174
2013-9-2 16.3925
2013-9-9 15.7469
2013-9-23 15.1339
2013-9-30 15.9124
2013-10-7 16.2251
2013-10-14 15.4448
2013-10-30 14.4567
2013-11-4 13.9308
2013-11-11 13.5079
2013-11-18 13.1022
